dt = 0.000010000000; N = 10; L(σ) = 8.000000 
Temps; Energie(ε); E_cin(ε); E_pot(ε); Temperature(ε/kb); Pression (ε/σ²)
0.334000; 99.793894; 102.904137; -3.110243; 10.290414; 1.547864
0.335000; 99.793894; 102.898529; -3.104635; 10.289853; 1.546361
0.336000; 99.793894; 102.893214; -3.099319; 10.289321; 1.544846
0.337000; 99.793894; 102.888158; -3.094264; 10.288816; 1.543321
0.338000; 99.793894; 102.883334; -3.089439; 10.288333; 1.541791
0.339000; 99.793894; 102.878709; -3.084815; 10.287871; 1.540258
0.340000; 99.793894; 102.874258; -3.080364; 10.287426; 1.538727
0.341000; 99.810211; 102.870050; -3.059839; 10.287005; 1.537960
0.342000; 99.810211; 102.866182; -3.055971; 10.286618; 1.536433
0.343000; 99.810211; 102.862403; -3.052192; 10.286240; 1.534919
0.344000; 99.793894; 102.858812; -3.064918; 10.285881; 1.532655
0.345000; 99.793894; 102.855616; -3.061721; 10.285562; 1.531161
0.346000; 99.793894; 102.852462; -3.058568; 10.285246; 1.529689
0.347000; 99.793894; 102.849334; -3.055440; 10.284933; 1.528241
0.348000; 99.793894; 102.846217; -3.052323; 10.284622; 1.526820
0.349000; 99.793894; 102.843099; -3.049205; 10.284310; 1.525430
0.350000; 99.793894; 102.839968; -3.046074; 10.283997; 1.524071
0.351000; 99.793894; 102.836814; -3.042920; 10.283681; 1.522747
0.352000; 99.793894; 102.833631; -3.039737; 10.283363; 1.521460
0.353000; 99.793894; 102.830412; -3.036518; 10.283041; 1.520213
0.354000; 99.793894; 102.827152; -3.033258; 10.282715; 1.519005
0.355000; 99.793894; 102.823848; -3.029953; 10.282385; 1.517841
0.356000; 99.793894; 102.820497; -3.026603; 10.282050; 1.516721
0.357000; 99.793894; 102.817100; -3.023206; 10.281710; 1.515647
0.358000; 99.793894; 102.813657; -3.019763; 10.281366; 1.514621
0.359000; 99.793894; 102.810168; -3.016274; 10.281017; 1.513643
0.360000; 99.793894; 102.806636; -3.012742; 10.280664; 1.512716
0.361000; 99.793894; 102.803063; -3.009169; 10.280306; 1.511840
0.362000; 99.793894; 102.799453; -3.005559; 10.279945; 1.511017
0.363000; 99.793894; 102.795809; -3.001915; 10.279581; 1.510248
0.364000; 99.793894; 102.792135; -2.998241; 10.279213; 1.509534
0.365000; 99.810210; 102.788596; -2.978385; 10.278860; 1.509633
0.366000; 99.810210; 102.785068; -2.974858; 10.278507; 1.509027
0.367000; 99.810210; 102.781519; -2.971309; 10.278152; 1.508480
0.368000; 99.810210; 102.777951; -2.967741; 10.277795; 1.507992
0.369000; 99.810210; 102.774365; -2.964155; 10.277437; 1.507566
0.370000; 99.810210; 102.770764; -2.960554; 10.277076; 1.507203
0.371000; 99.810210; 102.767147; -2.956937; 10.276715; 1.506904
0.372000; 99.810210; 102.763513; -2.953303; 10.276351; 1.506670
0.373000; 99.810210; 102.759860; -2.949650; 10.275986; 1.506504
0.374000; 99.810210; 102.756182; -2.945972; 10.275618; 1.506407
0.375000; 99.810210; 102.752475; -2.942265; 10.275248; 1.506382
0.376000; 99.810210; 102.748730; -2.938520; 10.274873; 1.506430
0.377000; 99.810210; 102.744936; -2.934726; 10.274494; 1.506554
0.378000; 99.810210; 102.741079; -2.930869; 10.274108; 1.506756
0.379000; 99.810210; 102.737144; -2.926934; 10.273714; 1.507041
0.380000; 99.810210; 102.733112; -2.922902; 10.273311; 1.507410
0.381000; 99.810210; 102.728959; -2.918749; 10.272896; 1.507867
0.382000; 99.810210; 102.724660; -2.914450; 10.272466; 1.508417
0.383000; 99.810210; 102.720184; -2.909974; 10.272018; 1.509063
0.384000; 99.810210; 102.715495; -2.905285; 10.271550; 1.509810
0.385000; 99.810210; 102.710555; -2.900345; 10.271056; 1.510663
0.386000; 99.810210; 102.705319; -2.895109; 10.270532; 1.511627
0.387000; 99.810210; 102.699736; -2.889526; 10.269974; 1.512709
