r h_AllPart g_AllPart h_OO g_OO h_SiO g_SiO h_SiSi g_SiSi
4.64689378757515 1446.0 1.0853189780173043 666.0 0.4998772056428248 606.0 0.4548432231524802 174.0 0.13059854922199926
4.671743486973948 1446.0 1.0737731409150806 744.0 0.5524807861969708 534.0 0.3965386288026646 168.0 0.12475372591544502
4.696593186372746 1518.0 1.1153106800780186 750.0 0.5510428261255034 582.0 0.4276092330733906 186.0 0.1366586208791248
4.721442885771543 1452.0 1.0555893428656973 834.0 0.6063095812327766 444.0 0.32278351806637023 174.0 0.12649624356655048
4.746292585170341 1458.0 1.0488524179382595 666.0 0.47910542547797036 588.0 0.42299397925082066 204.0 0.1467530132094684
4.771142284569138 1344.0 0.9567721874674644 672.0 0.4783860937337322 468.0 0.3331617438502778 204.0 0.14522434988345442
4.7959919839679355 1470.0 1.0356254332371502 780.0 0.5495155360033859 522.0 0.36775270486380435 168.0 0.11835719236996001
4.820841683366734 1578.0 1.1002513512797143 780.0 0.5438504778188702 570.0 0.39742919532917437 228.0 0.15897167813166974
4.845691382765531 1284.0 0.8860794668977106 690.0 0.4761641995011061 450.0 0.31054186923985183 144.0 0.09937339815675258
4.870541082164329 1506.0 1.0286753156704778 798.0 0.5450749680644364 510.0 0.3483561825975722 198.0 0.1352441650084692
4.895390781563126 1518.0 1.0263454040097397 882.0 0.5963350766380702 468.0 0.3164226937263229 168.0 0.11358763364534667
4.920240480961924 1440.0 0.9637739452745334 798.0 0.5340913946729706 450.0 0.3011793578982917 192.0 0.12850319270327112
4.9450901803607215 1548.0 1.025644446181158 816.0 0.5406497855838662 546.0 0.36175831241273404 186.0 0.12323634818455774
4.969939879759519 1704.0 1.1177140189288914 882.0 0.5785350731779826 630.0 0.41323933798427326 192.0 0.12593960776663565
4.994789579158317 1776.0 1.1533500115192403 978.0 0.635121796883906 600.0 0.3896452741619055 198.0 0.1285829404734288
5.019639278557114 1554.0 0.9991894484457229 816.0 0.5246709072919626 558.0 0.3587823116040627 180.0 0.11573622954969763
5.044488977955912 1638.0 1.0428234216350027 936.0 0.5958990980771446 468.0 0.2979495490385723 234.0 0.14897477451928615
5.069338677354709 1716.0 1.0817711613151688 996.0 0.6278811635605526 510.0 0.3215054150761866 210.0 0.13238458267842976
5.0941883767535066 1644.0 1.0262711966524158 966.0 0.6030279659162006 492.0 0.30713225593247484 186.0 0.11611097480374048
5.119038076152305 1824.0 1.127582018580396 990.0 0.6120099771900176 516.0 0.31898701841419097 318.0 0.19658502297618746
5.143887775551102 1806.0 1.1056676481484826 930.0 0.5693637390797834 594.0 0.3636581301219262 282.0 0.17264577894677305
5.1687374749499 1800.0 1.0913983163731313 846.0 0.5129572086953718 660.0 0.40017938267014813 294.0 0.17826172500761145
5.193587174348697 1974.0 1.1854466514585447 1074.0 0.6449694547449225 600.0 0.3603181311424148 300.0 0.1801590655712074
5.218436873747495 1746.0 1.0385398778301436 810.0 0.48179685053975735 690.0 0.4104195393486822 246.0 0.14632348794170408
5.2432865731462925 1908.0 1.124141990019309 1050.0 0.6186315982810663 642.0 0.37824903437756624 216.0 0.12726135736067648
5.26813627254509 1638.0 0.9559609716023194 996.0 0.5812802977508609 468.0 0.27313170617209126 174.0 0.10154896767936726
5.292985971943888 1872.0 1.0822684325764884 996.0 0.5758223070759522 606.0 0.35034971695585043 270.0 0.15609640854468582
5.317835671342685 1818.0 1.0412263334396807 924.0 0.5292041430683526 576.0 0.32989349178286914 318.0 0.182128698588459
5.342685370741483 1854.0 1.0519671233377261 918.0 0.520876925147806 696.0 0.39491322429506864 240.0 0.13617697389485126
5.36753507014028 1836.0 1.0321080505462303 918.0 0.5160540252731152 708.0 0.3980024508642326 210.0 0.11805157440888256
5.3923847695390785 1878.0 1.045988311440273 798.0 0.4444614869698285 852.0 0.4745378281933507 228.0 0.12698899627709384
