#  Steps           Epot           Temp           Ekin           Etot            RgA       Coord0A       Coord1A       Coord2A           RgB       Coord0B       Coord1B       Coord2B
    1640  -11306.743824       0.084062     252.185207  -11054.558617       0.149014     -0.000000     -0.000000      0.000000      0.149014    -18.030800     -0.000000      0.000000
    1650  -11315.642772       0.087028     261.084002  -11054.558770       0.149169     -0.000000     -0.000000      0.000000      0.149169    -18.018800     -0.000000      0.000000
    1660  -11324.205231       0.089882     269.646307  -11054.558924       0.149335     -0.000000     -0.000000      0.000000      0.149335    -18.006800     -0.000000      0.000000
    1670  -11332.167168       0.092536     277.608087  -11054.559082       0.149510     -0.000000     -0.000000      0.000000      0.149510    -17.994800     -0.000000      0.000000
    1680  -11339.259322       0.094900     284.700096  -11054.559226       0.149694     -0.000000     -0.000000      0.000000      0.149694    -17.982800     -0.000000      0.000000
    1690  -11345.232322       0.096891     290.672988  -11054.559334       0.149885     -0.000000     -0.000000      0.000000      0.149885    -17.970800     -0.000000      0.000000
    1700  -11349.893068       0.098445     295.333677  -11054.559391       0.150081     -0.000000     -0.000000      0.000000      0.150081    -17.958800     -0.000000      0.000000
    1710  -11353.125297       0.099522     298.565895  -11054.559402       0.150281     -0.000000     -0.000000      0.000000      0.150281    -17.946800     -0.000000      0.000000
    1720  -11354.885150       0.100109     300.325771  -11054.559379       0.150483     -0.000000     -0.000000      0.000000      0.150483    -17.934800     -0.000000      0.000000
    1730  -11355.183775       0.100208     300.624443  -11054.559332       0.150687     -0.000000     -0.000000      0.000000      0.150687    -17.922800     -0.000000      0.000000
    1740  -11354.071744       0.099837     299.512477  -11054.559266       0.150891     -0.000000     -0.000000      0.000000      0.150891    -17.910800     -0.000000      0.000000
    1750  -11351.629792       0.099024     297.070605  -11054.559187       0.151094     -0.000000     -0.000000      0.000000      0.151094    -17.898800     -0.000000      0.000000
    1760  -11347.963298       0.097801     293.404203  -11054.559095       0.151294     -0.000000     -0.000000      0.000000      0.151294    -17.886800     -0.000000      0.000000
    1770  -11343.198321       0.096213     288.639327  -11054.558993       0.151490     -0.000000     -0.000000      0.000000      0.151490    -17.874800     -0.000000      0.000000
    1780  -11337.478758       0.094307     282.919875  -11054.558883       0.151681     -0.000000     -0.000000      0.000000      0.151681    -17.862800     -0.000000      0.000000
    1790  -11330.963601       0.092135     276.404834  -11054.558767       0.151866     -0.000000     -0.000000      0.000000      0.151866    -17.850800     -0.000000      0.000000
    1800  -11323.822567       0.089755     269.263918  -11054.558649       0.152044     -0.000000     -0.000000      0.000000      0.152044    -17.838800     -0.000000      0.000000
    1810  -11316.230109       0.087224     261.671577  -11054.558532       0.152214     -0.000000     -0.000000      0.000000      0.152214    -17.826800     -0.000000      0.000000
    1820  -11308.360146       0.084601     253.801728  -11054.558418       0.152375     -0.000000     -0.000000      0.000000      0.152375    -17.814800     -0.000000      0.000000
    1830  -11300.383892       0.081942     245.825585  -11054.558307       0.152526     -0.000000     -0.000000      0.000000      0.152526    -17.802800     -0.000000      0.000000
    1840  -11292.470575       0.079304     237.912378  -11054.558196       0.152666     -0.000000     -0.000000      0.000000      0.152666    -17.790800     -0.000000      0.000000
    1850  -11283.617237       0.076756     230.267923  -11053.349314       0.152795     -0.000000     -0.000000      0.000000      0.152795    -17.778800     -0.000000      0.000000
    1860  -11276.364781       0.074339     223.015566  -11053.349214       0.152913     -0.000000     -0.000000      0.000000      0.152913    -17.766800     -0.000000      0.000000
    1870  -11267.719703       0.072118     216.355383  -11051.364320       0.153017     -0.000000     -0.000000      0.000000      0.153017    -17.754800     -0.000000      0.000000
    1880  -11261.734413       0.070123     210.370163  -11051.364250       0.153109     -0.000000     -0.000000      0.000000      0.153109    -17.742800     -0.000000      0.000000
    1890  -11254.907451       0.068400     205.200183  -11049.707268       0.153187     -0.000000     -0.000000      0.000000      0.153187    -17.730800     -0.000000      0.000000
    1900  -11250.600004       0.066964     200.892777  -11049.707227       0.153252     -0.000000     -0.000000      0.000000      0.153252    -17.718800     -0.000000      0.000000
