#  Steps           Epot           Temp           Ekin           Etot        Coord0A       Coord1A       Coord2A       Coord0B       Coord1B       Coord2B
    1940  -12767.263564       0.073268     219.802512  -12547.461052      -0.018780     -0.000000      0.002046    -12.652020      0.000000     -0.002046
    1950  -12768.420146       0.073653     220.959078  -12547.461068      -0.019654     -0.000000      0.002032    -12.639146      0.000000     -0.002032
    1960  -12769.810824       0.074117     222.349671  -12547.461153      -0.020545     -0.000001      0.001998    -12.626255      0.000000     -0.001998
    1970  -12771.286007       0.074608     223.824612  -12547.461395      -0.021458     -0.000001      0.001948    -12.613342      0.000001     -0.001948
    1980  -12772.576233       0.075038     225.114704  -12547.461528      -0.022399     -0.000001      0.001883    -12.600401      0.000001     -0.001883
    1990  -12773.526568       0.075355     226.065118  -12547.461450      -0.023372     -0.000001      0.001804    -12.587428      0.000001     -0.001804
    2000  -12774.254669       0.075598     226.793342  -12547.461326      -0.024380     -0.000002      0.001713    -12.574420      0.000002     -0.001713
    2010  -12775.062469       0.075867     227.601262  -12547.461208      -0.025425     -0.000002      0.001607    -12.561375      0.000002     -0.001607
    2020  -12776.179570       0.076239     228.718397  -12547.461173      -0.026507     -0.000003      0.001487    -12.548293      0.000003     -0.001487
    2030  -12777.554160       0.076698     230.092765  -12547.461394      -0.027625     -0.000004      0.001350    -12.535175      0.000004     -0.001350
    2040  -12778.887872       0.077142     231.426322  -12547.461550      -0.028777     -0.000004      0.001197    -12.522023      0.000004     -0.001197
    2050  -12779.891139       0.077476     232.429448  -12547.461691      -0.029962     -0.000005      0.001026    -12.508838      0.000005     -0.001026
    2060  -12780.492441       0.077677     233.030898  -12547.461542      -0.031178     -0.000006      0.000836    -12.495622      0.000006     -0.000836
    2070  -12780.835918       0.077792     233.374529  -12547.461389      -0.032419     -0.000006      0.000629    -12.482381      0.000006     -0.000629
    2080  -12781.142669       0.077894     233.681312  -12547.461357      -0.033680     -0.000006      0.000404    -12.469120      0.000006     -0.000404
    2090  -12781.547502       0.078029     234.086006  -12547.461496      -0.034957     -0.000006      0.000164    -12.455843      0.000006     -0.000164
    2100  -12782.003935       0.078181     234.542122  -12547.461814      -0.036242     -0.000005     -0.000088    -12.442558      0.000005      0.000088
    2110  -12782.316492       0.078285     234.854534  -12547.461958      -0.037532     -0.000003     -0.000346    -12.429268      0.000003      0.000346
    2120  -12782.341640       0.078293     234.879667  -12547.461973      -0.038820     -0.000000     -0.000605    -12.415980      0.000000      0.000605
    2130  -12782.189906       0.078243     234.728097  -12547.461810      -0.040103      0.000004     -0.000861    -12.402697     -0.000004      0.000861
    2140  -12782.242962       0.078260     234.781424  -12547.461538      -0.041377      0.000008     -0.001111    -12.389423     -0.000008      0.001111
    2150  -12782.907113       0.078482     235.445614  -12547.461500      -0.042639      0.000014     -0.001353    -12.376161     -0.000014      0.001353
    2160  -12784.297377       0.078945     236.835746  -12547.461630      -0.043890      0.000020     -0.001587    -12.362910     -0.000020      0.001587
    2170  -12786.117460       0.079552     238.655479  -12547.461981      -0.045132      0.000026     -0.001814    -12.349668     -0.000026      0.001814
    2180  -12787.874219       0.080137     240.411891  -12547.462328      -0.046367      0.000032     -0.002036    -12.336433     -0.000032      0.002036
    2190  -12789.243315       0.080594     241.781086  -12547.462229      -0.047598      0.000038     -0.002256    -12.323202     -0.000038      0.002256
